Latitude,Longitude,Depth_in_Feet
17.936816666666665,-66.24996666666667,7.49
17.936816666666665,-66.24996666666667,7.42
17.936816666666665,-66.24998333333333,7.42
17.936816666666665,-66.24998333333333,7.57
17.936816666666665,-66.24998333333333,8.27
17.936833333333333,-66.25,8.85
17.93685,-66.25,9.25
17.936866666666667,-66.25001666666667,9.61
17.936866666666667,-66.25003333333333,10.05
17.936883333333334,-66.25005,9.71
17.9369,-66.25006666666667,10.27
17.936916666666665,-66.25006666666667,10.39
17.936916666666665,-66.25008333333334,10.34
17.93695,-66.2501,10.65
17.93695,-66.25011666666667,11.06
17.936966666666667,-66.25013333333334,11.28
17.936983333333334,-66.25013333333334,11.35
17.937,-66.25013333333334,11.35
17.937016666666665,-66.25013333333334,11.50
17.937033333333332,-66.25015,11.62
17.93705,-66.25015,11.79
17.937066666666666,-66.25015,12.28
17.937083333333334,-66.25015,12.01
17.937116666666668,-66.25015,12.11
17.937133333333332,-66.25013333333334,12.30
17.93715,-66.25013333333334,12.45
17.937166666666666,-66.25013333333334,12.50
17.937183333333333,-66.25013333333334,12.50
17.9372,-66.25013333333334,12.86
17.937216666666668,-66.25013333333334,12.74
17.93723333333333,-66.25013333333334,12.93
17.93725,-66.25013333333334,12.91
17.937266666666666,-66.25013333333334,13.05
17.937283333333333,-66.25013333333334,13.20
17.9373,-66.25013333333334,12.93
17.937316666666668,-66.25013333333334,13.18
17.937333333333335,-66.25013333333334,13.30
17.937366666666666,-66.25013333333334,13.32
17.937383333333333,-66.25013333333334,13.47
17.9374,-66.25013333333334,13.96
17.937416666666667,-66.25013333333334,13.74
17.937433333333335,-66.25013333333334,13.57
17.937433333333335,-66.25011666666667,13.59
17.937416666666667,-66.25011666666667,13.54
17.937416666666667,-66.2501,13.66
17.937433333333335,-66.25008333333334,13.66
17.937433333333335,-66.25006666666667,13.23
17.937433333333335,-66.25005,13.44
17.937433333333335,-66.25003333333333,13.71
17.937433333333335,-66.25,13.84
17.93745,-66.25,13.52
17.93745,-66.24996666666667,13.81
17.93745,-66.24996666666667,13.66
17.93745,-66.24993333333333,13.71
17.93745,-66.24991666666666,13.91
17.93745,-66.2499,13.69
17.93745,-66.24988333333333,13.71
17.93745,-66.24986666666666,13.84
17.93745,-66.24983333333333,14.15
17.93745,-66.24981666666666,14.15
17.937466666666666,-66.2498,14.29
17.937466666666666,-66.24978333333334,14.51
17.937466666666666,-66.24976666666667,14.37
17.937466666666666,-66.24973333333334,14.73
17.937466666666666,-66.24971666666667,14.54
17.937466666666666,-66.2497,13.81
17.937466666666666,-66.24966666666667,13.35
17.937466666666666,-66.24966666666667,13.34
17.937483333333333,-66.24963333333334,13.44
17.937483333333333,-66.24961666666667,13.17
17.937483333333333,-66.2496,12.71
17.937483333333333,-66.24958333333333,12.59
