Latitude,Longitude,Depth_in_Feet
17.971183333333332,-67.01255,1.47
17.971183333333332,-67.01255,1.49
17.971183333333332,-67.01255,1.49
17.971183333333332,-67.01255,1.49
17.971183333333332,-67.01255,1.49
17.971183333333332,-67.01255,1.49
17.971183333333332,-67.01255,1.49
17.971183333333332,-67.01255,1.47
17.971183333333332,-67.01255,1.49
17.971183333333332,-67.01255,1.49
17.971183333333332,-67.01255,1.49
17.971183333333332,-67.01255,1.49
17.971183333333332,-67.01255,1.49
17.971183333333332,-67.01255,1.47
17.971183333333332,-67.01255,1.49
17.971183333333332,-67.01255,1.49
17.971183333333332,-67.01253333333334,1.49
17.971183333333332,-67.01253333333334,1.47
17.971183333333332,-67.01253333333334,1.49
17.971183333333332,-67.01253333333334,1.49
17.971183333333332,-67.01253333333334,1.49
17.971183333333332,-67.01253333333334,1.49
17.971183333333332,-67.01253333333334,1.49
17.971183333333332,-67.01253333333334,1.49
17.971183333333332,-67.01253333333334,1.49
17.971183333333332,-67.01253333333334,1.49
17.971183333333332,-67.01253333333334,1.47
17.971183333333332,-67.01255,1.47
17.971183333333332,-67.01255,1.49
17.971183333333332,-67.01255,1.49
17.971183333333332,-67.01255,1.49
17.971183333333332,-67.01255,1.49
17.971183333333332,-67.01255,1.49
17.971183333333332,-67.01255,1.47
17.971183333333332,-67.01255,1.47
17.971183333333332,-67.01255,1.49
17.971183333333332,-67.01255,1.49
17.971183333333332,-67.01255,1.49
17.971183333333332,-67.01255,1.49
17.971183333333332,-67.01255,1.49
17.971183333333332,-67.01255,1.49
17.971183333333332,-67.01255,1.47
17.971183333333332,-67.01255,1.49
17.971183333333332,-67.01255,1.49
17.971183333333332,-67.01255,1.49
17.971183333333332,-67.01255,1.49
17.971183333333332,-67.01255,1.49
17.971183333333332,-67.01255,1.49
17.971183333333332,-67.01255,1.49
17.971166666666665,-67.01255,1.49
17.971166666666665,-67.01255,1.49
17.971166666666665,-67.01255,1.49
17.971166666666665,-67.01255,1.47
17.971166666666665,-67.01255,1.42
17.971166666666665,-67.01255,1.49
17.971166666666665,-67.01255,1.47
17.971166666666665,-67.01256666666667,1.49
17.971183333333332,-67.01256666666667,1.49
17.971183333333332,-67.01256666666667,1.49
17.971183333333332,-67.01256666666667,1.49
17.971183333333332,-67.01256666666667,1.47
17.971183333333332,-67.01256666666667,1.49
17.971183333333332,-67.01256666666667,1.49
17.971183333333332,-67.01256666666667,1.49
17.971183333333332,-67.01256666666667,1.49
17.971183333333332,-67.01256666666667,1.49
